06:28.7,1701.557435,1537.98785,15.55902215,14.58269582,1683.684656,1297.200122,13.29103891,13.29103891,10,10,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/min-max_Normalized_targetNormFalse_Th0.2_-0.2_ITC_2017-01_full_w10_t20_p10_n10_o.pkl
10:55.4,1733.803299,1454.690798,15.66643385,14.29255467,1688.605195,1368.119035,13.78544649,13.78544649,10,10,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/min-max_Normalized_targetNormFalse_Th0_0_ITC_2017-01_full_w10_t20_p10_n10_o.pkl
16:16.0,1738.123374,1420.189013,15.70456731,13.78838267,1657.308384,1420.189013,13.62646651,13.62646651,10,10,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0.9_-0.9_ITC_2017-01_full_w10_t20_p10_n10_o.pkl
21:31.6,1737.015333,1482.40948,15.64284288,14.26748577,1700.877537,1390.679776,13.33297972,13.33297972,10,10,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0.8_-0.8_ITC_2017-01_full_w10_t20_p10_n10_o.pkl
28:04.6,1712.363546,1492.693289,15.60777536,14.39574653,1625.795389,1370.886505,13.58590345,13.58590345,10,10,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0.6_-0.6_ITC_2017-01_full_w10_t20_p10_n10_o.pkl
34:05.3,1746.997077,1400.047895,15.63854627,14.45570283,1675.656315,1393.931435,13.78035669,13.78035669,10,10,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0.4_-0.4_ITC_2017-01_full_w10_t20_p10_n10_o.pkl
40:16.5,1695.611119,1605.655222,15.54183947,14.83570732,1663.573434,1312.009665,13.55555253,13.55555253,10,10,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0.2_-0.2_ITC_2017-01_full_w10_t20_p10_n10_o.pkl
45:25.2,1703.314256,1508.843451,15.58012775,14.34755572,1665.836466,1383.613681,14.02502016,14.02502016,10,10,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0_0_ITC_2017-01_full_w10_t20_p10_n10_o.pkl
52:08.8,1741.848973,1434.348154,15.75775908,13.92236948,1677.417162,1331.325823,13.41922724,13.41922724,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/min-max_Normalized_targetNormFalse_Th0.9_-0.9_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
58:51.7,1765.664185,1336.724846,15.87594653,13.46433152,1658.143278,1336.724846,13.46433152,13.46433152,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/min-max_Normalized_targetNormFalse_Th0.8_-0.8_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
05:32.5,1719.080236,1502.881343,15.66805562,14.26211557,1676.916471,1393.249307,13.79181267,13.79181267,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/min-max_Normalized_targetNormFalse_Th0.6_-0.6_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
12:14.9,1722.099289,1512.711212,15.6655026,14.36297739,1680.355741,1356.314808,13.49088962,13.49088962,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/min-max_Normalized_targetNormFalse_Th0.4_-0.4_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
18:56.6,1727.190026,1444.274381,15.6564342,14.22921806,1658.354878,1386.235732,13.87000971,13.87000971,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/min-max_Normalized_targetNormFalse_Th0.2_-0.2_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
25:39.2,1679.338182,1590.327686,15.49882705,14.66156718,1671.667996,1346.449279,13.55453926,13.55453926,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/min-max_Normalized_targetNormFalse_Th0_0_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
35:18.2,26669.27335,36501.7467,62.42186,74.55035115,1513.274098,1306.664441,13.40016562,13.40016562,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0.9_-0.9_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
44:53.0,1698.576889,1544.72006,15.5635417,14.53546829,1684.157974,1442.130788,13.89195061,13.89195061,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0.8_-0.8_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
52:37.0,1709.975583,1539.285754,15.58708467,14.5652541,1658.169156,1405.841181,13.82086103,13.82086103,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0.6_-0.6_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
02:20.4,1781.317789,1306.178021,15.91022692,13.48171351,1677.004605,1306.178021,13.39572265,13.39572265,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0.4_-0.4_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
10:54.5,1669.02125,1458.298701,15.3086739,14.03886457,1669.02125,1322.018257,13.53170577,13.53170577,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0.2_-0.2_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
20:21.0,1744.517556,1397.401231,15.82776355,13.60431481,1696.377977,1346.738223,13.50758329,13.50758329,20,20,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/None_Normalized_targetNormFalse_Th0_0_ITC_2017-01_full_w10_t20_p20_n20_o.pkl
37:10.1,1711.216335,1529.349018,15.65329064,14.35028369,1665.185819,1409.30976,13.92691052,13.92691052,50,50,40,0.0005,hs1128_hs2256_hslin164_hslin232_hslin31_lr0.0005_epochs40,data_collection/pickled_datasets/min-max_Normalized_targetNormFalse_Th0.2_-0.2_ITC_2017-01_full_w10_t20_p50_n50_o.pkl
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,0.168860411,16.88604109,15.9570777,0.159570777,,,,,,,,,
,,0.153086739,15.3086739,13.41290675,0.134129068,,,,,,,,,
,,0.6242186,62.42186,74.55035115,0.745503512,,,,,,,,,
,,0.076953232,7.695323248,9.914498173,0.099144982,,,,,,,,,
