time,model,comment,mean_squared_error,mean_absolute_percentage_error,r2_score
2022-06-28 03:28:44.462591,"StackingRegressor(estimators=[('pers', PersistanceModel(persist_colname=0)),
                              ('hgbr',
                               Pipeline(steps=[('histgradientboostingregressor',
                                                HistGradientBoostingRegressor(max_iter=50))])),
                              ('abr',
                               Pipeline(steps=[('robustscaler', RobustScaler()),
                                               ('adaboostregressor',
                                                AdaBoostRegressor())]))],
                  final_estimator=RandomForestRegressor(n_estimators=10))",stacking_ohlcvMARUTI.NS_2017-01-01_full_wl10_tr300_ts1,25723.45717676489,0.01622804458950271,0.9812461421714933
2022-06-28 04:08:35.154799,"StackingRegressor(estimators=[('pers', PersistanceModel(persist_colname=0)),
                              ('hgbr',
                               Pipeline(steps=[('histgradientboostingregressor',
                                                HistGradientBoostingRegressor(max_iter=50))])),
                              ('abr',
                               Pipeline(steps=[('robustscaler', RobustScaler()),
                                               ('adaboostregressor',
                                                AdaBoostRegressor())]))],
                  final_estimator=RandomForestRegressor(n_estimators=10))",stacking_ohlcvTVSMOTOR.NS_2017-01-01_full_wl10_tr300_ts1,159.20470274519784,0.01945476976853921,0.9864513669371334
2022-06-28 04:48:33.335367,"StackingRegressor(estimators=[('pers', PersistanceModel(persist_colname=0)),
                              ('hgbr',
                               Pipeline(steps=[('histgradientboostingregressor',
                                                HistGradientBoostingRegressor(max_iter=50))])),
                              ('abr',
                               Pipeline(steps=[('robustscaler', RobustScaler()),
                                               ('adaboostregressor',
                                                AdaBoostRegressor())]))],
                  final_estimator=RandomForestRegressor(n_estimators=10))",stacking_ohlcvTATAMOTORS.NS_2017-01-01_full_wl10_tr300_ts1,85.30688091339029,0.034729246030218555,0.9950660414744256
2022-06-28 05:20:13.241068,"StackingRegressor(estimators=[('pers', PersistanceModel(persist_colname=0)),
                              ('hgbr',
                               Pipeline(steps=[('histgradientboostingregressor',
                                                HistGradientBoostingRegressor(max_iter=50))])),
                              ('abr',
                               Pipeline(steps=[('robustscaler', RobustScaler()),
                                               ('adaboostregressor',
                                                AdaBoostRegressor())]))],
                  final_estimator=RandomForestRegressor(n_estimators=10))",stacking_ohlcvTIINDIA.NS_2017-01-01_full_wl10_tr300_ts1,674.9286426925117,0.04069615763093693,0.9666823900968546
2022-06-28 05:54:54.637401,"StackingRegressor(estimators=[('pers', PersistanceModel(persist_colname=0)),
                              ('hgbr',
                               Pipeline(steps=[('histgradientboostingregressor',
                                                HistGradientBoostingRegressor(max_iter=50))])),
                              ('abr',
                               Pipeline(steps=[('robustscaler', RobustScaler()),
                                               ('adaboostregressor',
                                                AdaBoostRegressor())]))],
                  final_estimator=RandomForestRegressor(n_estimators=10))",stacking_ohlcvAUBANK.NS_2017-01-01_full_wl10_tr300_ts1,877.3743690293232,0.03147288896140319,0.9505085463102237
2022-06-28 06:34:57.573925,"StackingRegressor(estimators=[('pers', PersistanceModel(persist_colname=0)),
                              ('hgbr',
                               Pipeline(steps=[('histgradientboostingregressor',
                                                HistGradientBoostingRegressor(max_iter=50))])),
                              ('abr',
                               Pipeline(steps=[('robustscaler', RobustScaler()),
                                               ('adaboostregressor',
                                                AdaBoostRegressor())]))],
                  final_estimator=RandomForestRegressor(n_estimators=10))",stacking_ohlcvAXISBANK.NS_2017-01-01_full_wl10_tr300_ts1,283.16746275015504,0.020836750554814026,0.9780833273861304
2022-06-28 07:02:16.231171,"StackingRegressor(estimators=[('pers', PersistanceModel(persist_colname=0)),
                              ('hgbr',
                               Pipeline(steps=[('histgradientboostingregressor',
                                                HistGradientBoostingRegressor(max_iter=50))])),
                              ('abr',
                               Pipeline(steps=[('robustscaler', RobustScaler()),
                                               ('adaboostregressor',
                                                AdaBoostRegressor())]))],
                  final_estimator=RandomForestRegressor(n_estimators=10))",stacking_ohlcvBANDHANBNK.NS_2017-01-01_full_wl10_tr300_ts1,214.96182209737125,0.022543694238597378,0.9855984301618558
2022-06-28 07:41:21.699265,"StackingRegressor(estimators=[('pers', PersistanceModel(persist_colname=0)),
                              ('hgbr',
                               Pipeline(steps=[('histgradientboostingregressor',
                                                HistGradientBoostingRegressor(max_iter=50))])),
                              ('abr',
                               Pipeline(steps=[('robustscaler', RobustScaler()),
                                               ('adaboostregressor',
                                                AdaBoostRegressor())]))],
                  final_estimator=RandomForestRegressor(n_estimators=10))",stacking_ohlcvFEDERALBNK.NS_2017-01-01_full_wl10_tr300_ts1,5.2443493526586105,0.021098820337206173,0.9878828903515319
2022-06-28 08:21:19.464016,"StackingRegressor(estimators=[('pers', PersistanceModel(persist_colname=0)),
                              ('hgbr',
                               Pipeline(steps=[('histgradientboostingregressor',
                                                HistGradientBoostingRegressor(max_iter=50))])),
                              ('abr',
                               Pipeline(steps=[('robustscaler', RobustScaler()),
                                               ('adaboostregressor',
                                                AdaBoostRegressor())]))],
                  final_estimator=RandomForestRegressor(n_estimators=10))",stacking_ohlcvHDFCBANK.NS_2017-01-01_full_wl10_tr300_ts1,565.2892333913273,0.015819792204687037,0.9803976918735523
2022-06-28 09:00:59.920877,"StackingRegressor(estimators=[('pers', PersistanceModel(persist_colname=0)),
                              ('hgbr',
                               Pipeline(steps=[('histgradientboostingregressor',
                                                HistGradientBoostingRegressor(max_iter=50))])),
                              ('abr',
                               Pipeline(steps=[('robustscaler', RobustScaler()),
                                               ('adaboostregressor',
                                                AdaBoostRegressor())]))],
                  final_estimator=RandomForestRegressor(n_estimators=10))",stacking_ohlcvICICIBANK.NS_2017-01-01_full_wl10_tr300_ts1,143.53802562144375,0.023238650775838886,0.9770748746609905
