time,model,comment,accuracy_score,f1_score,precision_score,recall_score
2022-06-08 18:13:20.679243,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_KOTAKBANK.NS_2017-01-01_full_wl30_tr300_ts1,0.49214659685863876,0.5420207743153919,0.5052816901408451,0.5845213849287169
2022-06-08 18:13:32.106262,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_PNB.NS_2017-01-01_full_wl30_tr300_ts1,0.4774869109947644,0.40382317801672635,0.45066666666666666,0.3658008658008658
2022-06-08 18:13:43.501675,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_RBLBANK.NS_2017-01-01_full_wl30_tr300_ts1,0.49947643979057593,0.46412556053811654,0.49521531100478466,0.43670886075949367
2022-06-08 18:13:54.864762,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_SBIN.NS_2017-01-01_full_wl30_tr300_ts1,0.5015706806282723,0.5423076923076923,0.5251396648044693,0.5606361829025845
2022-06-08 18:13:54.864762,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_SBIN.NS_2017-01-01_full_wl30_tr300_ts1,0.5015706806282723,0.5423076923076923,0.5251396648044693,0.5606361829025845
2022-06-08 18:14:07.337478,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_BATAINDIA.NS_2017-01-01_full_wl30_tr300_ts1,0.4963350785340314,0.5405921680993314,0.5089928057553957,0.5763747454175153
2022-06-08 18:14:18.788718,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_BLUESTARCO.NS_2017-01-01_full_wl30_tr300_ts1,0.5130890052356021,0.44576877234803336,0.48825065274151436,0.4100877192982456
2022-06-08 18:14:30.498559,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_CROMPTON.NS_2017-01-01_full_wl30_tr300_ts1,0.48900523560209425,0.43123543123543123,0.46835443037974683,0.39956803455723544
2022-06-08 18:14:30.498559,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_CROMPTON.NS_2017-01-01_full_wl30_tr300_ts1,0.48900523560209425,0.43123543123543123,0.46835443037974683,0.39956803455723544
2022-06-08 18:14:42.042771,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_HAVELLS.NS_2017-01-01_full_wl30_tr300_ts1,0.5214659685863874,0.5660018993352327,0.5302491103202847,0.6069246435845214
2022-06-08 18:14:53.740249,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_KAJARIACER.NS_2017-01-01_full_wl30_tr300_ts1,0.5298429319371728,0.5619512195121951,0.5393258426966292,0.5865580448065173
2022-06-08 18:14:53.740249,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_KAJARIACER.NS_2017-01-01_full_wl30_tr300_ts1,0.5298429319371728,0.5619512195121951,0.5393258426966292,0.5865580448065173
2022-06-08 18:15:06.092593,"Pipeline(steps=[('svc', SVC())])",baseline_svc_ohlcv_RAJESHEXPO.NS_2017-01-01_full_wl30_tr300_ts1,0.5350785340314136,0.6014362657091563,0.563973063973064,0.6442307692307693
